cycle: 81; nbPreys: 14; minEnergyPreys: 0.5207843137254902; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.006666666666666633; maxSizePredators: 0.8399999999999999
cycle: 82; nbPreys: 14; minEnergyPreys: 0.5592156862745098; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.8199999999999998
cycle: 83; nbPreys: 15; minEnergyPreys: 0.5976470588235294; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.7999999999999998
cycle: 84; nbPreys: 15; minEnergyPreys: 0.6360784313725489; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.7799999999999998
cycle: 85; nbPreys: 15; minEnergyPreys: 0.6745098039215685; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.7599999999999998
cycle: 86; nbPreys: 15; minEnergyPreys: 0.712941176470588; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.7399999999999998
cycle: 87; nbPreys: 15; minEnergyPreys: 0.7513725490196075; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.7199999999999998
cycle: 88; nbPreys: 15; minEnergyPreys: 0.7656862745098035; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.6999999999999997
cycle: 89; nbPreys: 19; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.6799999999999997
cycle: 90; nbPreys: 19; minEnergyPreys: 0.27882352941176464; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.6599999999999997
cycle: 91; nbPreys: 22; minEnergyPreys: 0.322549019607843; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.6399999999999997
cycle: 92; nbPreys: 22; minEnergyPreys: 0.37254901960784303; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.6199999999999997
cycle: 93; nbPreys: 22; minEnergyPreys: 0.4225490196078431; maxSizePreys: 1.0; nbPredators: 14; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.5999999999999996
cycle: 94; nbPreys: 22; minEnergyPreys: 0.4725490196078431; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.5799999999999996
cycle: 95; nbPreys: 22; minEnergyPreys: 0.4939215686274509; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.5599999999999996
cycle: 96; nbPreys: 26; minEnergyPreys: 0.15000000000000005; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.5399999999999996
cycle: 97; nbPreys: 26; minEnergyPreys: 0.12352941176470585; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.5199999999999996
cycle: 98; nbPreys: 26; minEnergyPreys: 0.13686274509803914; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.49999999999999956
cycle: 99; nbPreys: 26; minEnergyPreys: 0.12470588235294106; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.47999999999999954
cycle: 100; nbPreys: 28; minEnergyPreys: 0.11313725490196058; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.4599999999999995
cycle: 101; nbPreys: 28; minEnergyPreys: 0.10156862745098011; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.4399999999999995
cycle: 102; nbPreys: 28; minEnergyPreys: 0.09372549019607807; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.4199999999999995
cycle: 103; nbPreys: 34; minEnergyPreys: 0.08960784313725445; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.39999999999999947
cycle: 104; nbPreys: 34; minEnergyPreys: 0.08490196078431325; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.37999999999999945
cycle: 105; nbPreys: 34; minEnergyPreys: 0.09627450980392094; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.35999999999999943
cycle: 106; nbPreys: 34; minEnergyPreys: 0.09960784313725415; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.3399999999999994
cycle: 107; nbPreys: 34; minEnergyPreys: 0.1066666666666658; maxSizePreys: 1.0; nbPredators: 9; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.3199999999999994
cycle: 108; nbPreys: 34; minEnergyPreys: 0.11372549019607744; maxSizePreys: 1.0; nbPredators: 9; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.2999999999999994
cycle: 109; nbPreys: 34; minEnergyPreys: 0.11333333333333223; maxSizePreys: 1.0; nbPredators: 8; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.27999999999999936
cycle: 110; nbPreys: 34; minEnergyPreys: 0.10058823529411653; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.25999999999999934
cycle: 111; nbPreys: 37; minEnergyPreys: 0.11882352941176347; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.23999999999999935
cycle: 112; nbPreys: 37; minEnergyPreys: 0.13333333333333197; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.053333333333332344; maxSizePredators: 0.21999999999999936
cycle: 113; nbPreys: 37; minEnergyPreys: 0.13549019607843; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.03333333333333234; maxSizePredators: 0.19999999999999937
cycle: 114; nbPreys: 37; minEnergyPreys: 0.13176470588235226; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.01333333333333234; maxSizePredators: 0.17999999999999938
cycle: 115; nbPreys: 41; minEnergyPreys: 0.13019607843137185; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.1599999999999994
cycle: 116; nbPreys: 41; minEnergyPreys: 0.12862745098039144; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.1399999999999994
cycle: 117; nbPreys: 41; minEnergyPreys: 0.12705882352941103; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.1199999999999994
cycle: 118; nbPreys: 42; minEnergyPreys: 0.12549019607843062; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.0999999999999994
cycle: 119; nbPreys: 42; minEnergyPreys: 0.12392156862745021; maxSizePreys: 1.0; nbPredators: 2; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.07999999999999939
cycle: 120; nbPreys: 42; minEnergyPreys: 0.1223529411764698; maxSizePreys: 1.0; nbPredators: 1; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.05999999999999939
cycle: 121; nbPreys: 42; minEnergyPreys: 0.1207843137254894; maxSizePreys: 1.0; nbPredators: 1; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.03999999999999938
cycle: 122; nbPreys: 47; minEnergyPreys: 0.14274509803921479; maxSizePreys: 1.0; nbPredators: 1; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.019999999999999383
